Timestamp,What is your age?,What is your gender?,What is your highest level of education?,What is your current occupation?,How often do you exercise in a week?,How long have you been using a fitness wearable?,How frequently do you use your fitness wearable?,How often do you track fitness data using wearable?,How has the fitness wearable impacted your fitness routine?,Has the fitness wearable helped you stay motivated to exercise?,Do you think that the fitness wearable has made exercising more enjoyable?,How engaged do you feel with your fitness wearable?,Does using a fitness wearable make you feel more connected to the fitness community?,How has the fitness wearable helped you achieve your fitness goals?,How has the fitness wearable impacted your overall health?,Has the fitness wearable improved your sleep patterns?,Do you feel that the fitness wearable has improved your overall well-being?,Has using a fitness wearable influenced your decision? [To exercise more?],Has using a fitness wearable influenced your decision? [To purchase other fitness-related products?],Has using a fitness wearable influenced your decision? [To join a gym or fitness class?],Has using a fitness wearable influenced your decision? [To change your diet?]
2023/03/30 9:43:19 PM GMT+5:30,18-24,Male,Some college or associate degree,Student,5 or more times a week,Less than 6 months,Daily,Every day,Positively impacted my fitness routine,Strongly agree,Strongly agree,Very engaged,Agree,No impact on achieving my goals,No impact on my overall health,Agree,Neutral,Strongly agree,Neutral,Agree,Agree
2023/03/31 5:07:46 PM GMT+5:30,Under 18,Male,Bachelor's degree,Student,5 or more times a week,Less than 6 months,3-4 times a week,Once a week,Positively impacted my fitness routine,Neutral,Agree,Somewhat engaged,Agree,Helped me achieve my goals somewhat more quickly,Improved my overall health somewhat,Agree,Strongly agree,Agree,Neutral,Neutral,Neutral
2023/03/31 7:44:46 PM GMT+5:30,18-24,Female,Bachelor's degree,Student,Less than once a week,Less than 6 months,Rarely,Rarely,Positively impacted my fitness routine,Strongly agree,Agree,Not very engaged,Strongly agree,Helped me achieve my goals much more quickly,Improved my overall health significantly,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree
2023/03/31 9:36:07 PM GMT+5:30,25-34,Female,Some college or associate degree,Employed part-time,3-4 times a week,6-12 months,3-4 times a week,Every day,I don't know,Strongly agree,Agree,Somewhat engaged,Strongly agree,Helped me achieve my goals somewhat more quickly,Improved my overall health somewhat,Agree,Strongly agree,Agree,Disagree,Neutral,Agree
2023/03/31 9:37:32 PM GMT+5:30,18-24,Male,Bachelor's degree,Student,1-2 times a week,Less than 6 months,Daily,Every other day,Positively impacted my fitness routine,Neutral,Agree,Neutral,Agree,Helped me achieve my goals much more quickly,Improved my overall health significantly,Agree,Strongly agree,Agree,Neutral,Agree,Strongly agree
2023/03/31 9:38:56 PM GMT+5:30,18-24,Female,Master's degree,Employed full-time,5 or more times a week,1-2 years,Daily,Every day,Positively impacted my fitness routine,Strongly agree,Strongly agree,Very engaged,Strongly agree,Helped me achieve my goals much more quickly,Improved my overall health significantly,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree
2023/03/31 11:10:50 PM GMT+5:30,18-24,Male,Bachelor's degree,Student,Less than once a week,1-2 years,1-2 times a week,Once a week,Positively impacted my fitness routine,Strongly agree,Strongly agree,Very engaged,Strongly agree,Helped me achieve my goals much more quickly,Improved my overall health significantly,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Neutral
2023/04/02 11:50:08 AM GMT+5:30,18-24,Female,Bachelor's degree,Student,Less than once a week,Less than 6 months,Daily,Once a month,No impact on my fitness routine,Agree,Agree,Very engaged,Strongly agree,Helped me achieve my goals somewhat more quickly,Improved my overall health somewhat,Agree,Agree,Agree,Disagree,Agree,Agree
2023/04/02 11:53:14 AM GMT+5:30,18-24,Male,High school diploma,Employed part-time,1-2 times a week,Less than 6 months,1-2 times a week,Every other day,Positively impacted my fitness routine,Strongly agree,Agree,Very engaged,Neutral,Helped me achieve my goals much more quickly,Improved my overall health significantly,Agree,Agree,Neutral,Agree,Agree,Agree
2023/04/02 11:53:50 AM GMT+5:30,35-44,Male,High school diploma,Employed full-time,Less than once a week,6-12 months,Daily,Every day,Positively impacted my fitness routine,Strongly agree,Strongly agree,Very engaged,Agree,Helped me achieve my goals much more quickly,Improved my overall health somewhat,Neutral,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree
2023/04/02 11:54:26 AM GMT+5:30,35-44,Female,Doctorate or professional degree,Self-employed,5 or more times a week,More than 2 years,Daily,Every day,Positively impacted my fitness routine,Strongly agree,Strongly agree,Very engaged,Strongly agree,Helped me achieve my goals much more quickly,Improved my overall health significantly,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Agree
2023/04/02 3:29:01 PM GMT+5:30,18-24,Female,Bachelor's degree,Self-employed,1-2 times a week,Less than 6 months,3-4 times a week,Every day,Positively impacted my fitness routine,Strongly agree,Neutral,Neutral,Neutral,Helped me achieve my goals somewhat more quickly,Improved my overall health somewhat,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree
2023/04/02 3:31:50 PM GMT+5:30,25-34,Female,High school diploma,Employed part-time,Less than once a week,6-12 months,3-4 times a week,Once a month,Positively impacted my fitness routine,Strongly agree,Strongly agree,Neutral,Agree,Helped me achieve my goals somewhat more quickly,Improved my overall health somewhat,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree
2023/04/02 3:32:33 PM GMT+5:30,45-54,Prefer not to say,Master's degree,Unemployed,3-4 times a week,6-12 months,1-2 times a week,Once a week,Negatively impacted my fitness routine,Strongly disagree,Disagree,Not very engaged,Neutral,No impact on achieving my goals,I don't know,Disagree,Disagree,Neutral,Agree,Agree,Neutral
2023/04/02 3:34:23 PM GMT+5:30,55-64,Prefer not to say,Doctorate or professional degree,Retired,5 or more times a week,6-12 months,3-4 times a week,Every other day,Positively impacted my fitness routine,Strongly agree,Neutral,Somewhat engaged,Neutral,Helped me achieve my goals somewhat more quickly,No impact on my overall health,Neutral,Agree,Strongly agree,Agree,Agree,Strongly agree
2023/04/02 3:36:08 PM GMT+5:30,45-54,Female,Bachelor's degree,Self-employed,Less than once a week,Less than 6 months,3-4 times a week,Every other day,Positively impacted my fitness routine,Agree,Agree,Somewhat engaged,Agree,Helped me achieve my goals somewhat more quickly,No impact on my overall health,Neutral,Agree,Agree,Agree,Agree,Agree
2023/04/06 2:16:21 PM GMT+5:30,25-34,Female,Some college or associate degree,Unemployed,3-4 times a week,Less than 6 months,3-4 times a week,Once a week,Positively impacted my fitness routine,Strongly agree,Strongly agree,Somewhat engaged,Agree,Helped me achieve my goals somewhat more quickly,Improved my overall health somewhat,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree
2023/04/06 2:17:35 PM GMT+5:30,25-34,Male,Some college or associate degree,Self-employed,1-2 times a week,6-12 months,1-2 times a week,Once a week,Positively impacted my fitness routine,Strongly agree,Agree,Somewhat engaged,Agree,Helped me achieve my goals much more quickly,Improved my overall health somewhat,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree
2023/04/07 10:40:32 AM GMT+5:30,25-34,Female,Doctorate or professional degree,Self-employed,3-4 times a week,1-2 years,3-4 times a week,Every other day,Positively impacted my fitness routine,Agree,Agree,Somewhat engaged,Agree,Helped me achieve my goals much more quickly,Improved my overall health significantly,Agree,Agree,Agree,Neutral,Strongly agree,Agree
2023/04/07 10:41:39 AM GMT+5:30,55-64,Female,Doctorate or professional degree,Retired,1-2 times a week,Less than 6 months,1-2 times a week,Once a week,I don't know,Neutral,Neutral,Neutral,Neutral,Helped me achieve my goals somewhat more quickly,Improved my overall health somewhat,Neutral,Neutral,Agree,Neutral,Neutral,Agree
2023/04/07 11:54:16 AM GMT+5:30,Under 18,Male,High school diploma,Student,3-4 times a week,6-12 months,3-4 times a week,Every other day,Positively impacted my fitness routine,Strongly agree,Strongly agree,Somewhat engaged,Strongly agree,Helped me achieve my goals much more quickly,Improved my overall health significantly,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2023/04/07 11:55:25 AM GMT+5:30,35-44,Male,Master's degree,Employed full-time,Less than once a week,Less than 6 months,Rarely,Rarely,I don't know,Neutral,Neutral,Neutral,Neutral,Helped me achieve my goals somewhat more quickly,I don't know,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
2023/04/07 11:56:17 AM GMT+5:30,25-34,Female,Master's degree,Self-employed,3-4 times a week,6-12 months,3-4 times a week,Once a week,Positively impacted my fitness routine,Agree,Agree,Somewhat engaged,Agree,Helped me achieve my goals somewhat more quickly,Improved my overall health somewhat,Agree,Agree,Agree,Agree,Agree,Agree
2023/04/07 11:57:19 AM GMT+5:30,45-54,Female,Doctorate or professional degree,Employed part-time,1-2 times a week,Less than 6 months,1-2 times a week,Once a month,Positively impacted my fitness routine,Agree,Strongly agree,Somewhat engaged,Strongly agree,Helped me achieve my goals somewhat more quickly,Improved my overall health significantly,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree
2023/04/07 11:58:32 AM GMT+5:30,18-24,Male,Bachelor's degree,Employed full-time,3-4 times a week,1-2 years,Daily,Every day,Positively impacted my fitness routine,Strongly agree,Strongly agree,Very engaged,Strongly agree,Helped me achieve my goals much more quickly,Improved my overall health significantly,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree
2023/04/07 12:22:25 PM GMT+5:30,Under 18,Female,Master's degree,Employed part-time,3-4 times a week,6-12 months,1-2 times a week,Once a week,Positively impacted my fitness routine,Agree,Agree,Neutral,Neutral,Helped me achieve my goals somewhat more quickly,Improved my overall health somewhat,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree
2023/04/07 12:23:16 PM GMT+5:30,35-44,Female,Doctorate or professional degree,Self-employed,3-4 times a week,6-12 months,3-4 times a week,Every other day,I don't know,Neutral,Neutral,Somewhat engaged,Agree,Helped me achieve my goals somewhat more quickly,I don't know,Agree,Neutral,Agree,Neutral,Agree,Strongly agree
2023/04/07 12:23:59 PM GMT+5:30,Under 18,Male,High school diploma,Student,5 or more times a week,More than 2 years,Daily,Every day,Positively impacted my fitness routine,Strongly agree,Strongly agree,Very engaged,Strongly agree,Helped me achieve my goals much more quickly,Improved my overall health significantly,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree
