Rank,Username,Owner,Followers(millions),Profession/Activity,Country
1,@instagram,Instagram,645,Social media platform,United States
2,@cristiano,Cristiano Ronaldo,594,Footballer,Portugal
3,@leomessi,Lionel Messi,476,Footballer,Argentina
4,@selenagomez,Selena Gomez,423,"Musician, actress, and businesswoman",United States
5,@kyliejenner,Kylie Jenner,395,Television personality and businesswoman,United States
6,@therock,Dwayne Johnson,385,Actor and professional wrestler,United States
7,@arianagrande,Ariana Grande,375,"Musician, actress and businesswoman",United States
8,@kimkardashian,Kim Kardashian,360,"Television personality, model and businesswoman",United States
9,@beyonce,Beyoncé,312,Musician and businesswoman,United States
10,@khloekardashian,Khloé Kardashian,309,Television personality and model,United States
11,@nike,Nike,299,Sportswear multinational,United States
12,@justinbieber,Justin Bieber,292,Musician,Canada
13,@kendalljenner,Kendall Jenner,291,Model and television personality,United States
14,@natgeo,National Geographic,279,Magazine,United States
15,@taylorswift,Taylor Swift,264,Musician,United States
16,@virat.kohli,Virat Kohli,252,Cricketer,India
17,@jlo,Jennifer Lopez,248,Musician and actress,United States
18,@kourtneykardash,Kourtney Kardashian,222,Television personality and model,United States
19,@nickiminaj,Nicki Minaj,222,Musician,Trinidad and Tobago United States
20,@mileycyrus,Miley Cyrus,211,Musician and actress,United States
21,@neymarjr,Neymar,209,Footballer,Brazil
22,@katyperry,Katy Perry,201,Musician,United States
23,@zendaya,Zendaya,182,Actress and singer,United States
24,@kevinhart4real,Kevin Hart,176,Comedian and actor,United States
25,@iamcardib,Cardi B,166,Musician and actress,United States
26,@ddlovato,Demi Lovato,156,Musician and actress,United States
27,@kingjames,LeBron James,155,Basketball player,United States
28,@badgalriri,Rihanna,150,Musician and businesswoman,Barbados
29,@chrisbrownofficial,Chris Brown,141,Musician,United States
30,@realmadrid,Real Madrid CF,139,Football club,Spain
31,@ellendegeneres,Ellen DeGeneres,137,Comedian and television personality,United States
32,@champagnepapi,Drake,139,Musician,Canada
33,@fcbarcelona,FC Barcelona,121,Football club,Spain
34,@billieeilish,Billie Eilish,109,Musician,United States
35,@championsleague,UEFA Champions League,105,Club football competition,Europe
36,@k.mbappe,Kylian Mbappé,104,Footballer at Paris Saint-Germain,France
37,@gal_gadot,Gal Gadot,103,Actress,Israel
38,@vindiesel,Vin Diesel,94.8,Actor,United States
39,@lalalalisa_m,Lisa,94.1,Musician,Thailand
40,@nasa,NASA,92.7,Space agency,United States
41,@dualipa,Dua Lipa,88.3,Musician,United Kingdom Albania
42,@priyankachopra,Priyanka Chopra,87.6,Actress and musician,India
43,@shakira,Shakira,86.6,Musician,Colombia
44,@nba,NBA,80.9,Professional basketball league,United States Canada
45,@shraddhakapoor,Shraddha Kapoor,80.8,Actress,India
46,@snoopdogg,Snoop Dogg,80,Musician,United States
47,@davidbeckham,David Beckham,79.3,"Former footballer, president of MLS club Inter Miami CF",United Kingdom
48,@jennierubyjane,Jennie,79.1,Musician,South Korea
49,@khaby00,Khaby Lame,79.1,Social media personality,Italy Senegal
50,@gigihadid,Gigi Hadid,78.5,Model,United States
